633.35,25.33,1163.38,46.54,
626.34,25.05,1131.74,45.27,
678.49,27.14,1215.80,48.63,
650.89,26.04,1138.26,45.53,
636.42,25.46,1160.67,46.43,
620.94,24.84,1279.86,51.19,
631.33,25.25,1126.70,45.07,
626.13,25.05,1130.72,45.23,
700.24,28.01,1129.12,45.16,
623.69,24.95,1136.74,45.47,
619.39,24.78,1134.66,45.39,
665.14,26.61,1152.20,46.09,
683.82,27.35,1190.34,47.61,
672.45,26.90,1126.80,45.07,
627.27,25.09,1129.64,45.19,
622.71,24.91,1182.49,47.30,
631.41,25.26,1200.65,48.03,
619.80,24.79,1137.43,45.50,
643.89,25.76,1136.39,45.46,
623.90,24.96,1126.69,45.07,
716.37,28.65,1153.17,46.13,
649.87,25.99,1162.20,46.49,
663.14,26.53,1129.04,45.16,
743.38,29.74,1166.17,46.65,
654.69,26.19,1166.54,46.66,
620.54,24.82,1123.82,44.95,
621.99,24.88,1130.90,45.24,
745.16,29.81,1137.45,45.50,
648.04,25.92,1136.53,45.46,
654.45,26.18,1207.96,48.32,
632.07,25.28,1155.28,46.21,
659.00,26.36,1210.30,48.41,
634.40,25.38,1171.04,46.84,
628.62,25.14,1140.55,45.62,
619.39,24.78,1127.71,45.11,
615.36,24.61,1161.31,46.45,
638.09,25.52,1139.01,45.56,
621.65,24.87,1182.51,47.30,
659.39,26.38,1132.20,45.29,
629.65,25.19,1126.60,45.06,
693.04,27.72,1131.54,45.26,
643.87,25.75,1129.96,45.20,
629.60,25.18,1133.64,45.35,
637.95,25.52,1125.08,45.00,
633.31,25.33,1148.00,45.92,
647.81,25.91,1138.15,45.53,
619.75,24.79,1128.20,45.13,
671.72,26.87,1133.72,45.35,
622.59,24.90,1144.35,45.77,
671.28,26.85,1136.72,45.47,
636.19,25.45,1142.18,45.69,
660.89,26.44,1126.91,45.08,
631.11,25.24,1219.25,48.77,
690.34,27.61,1130.28,45.21,
690.23,27.61,1128.88,45.16,
680.61,27.22,1186.55,47.46,
638.55,25.54,1126.49,45.06,
639.41,25.58,1139.94,45.60,
643.76,25.75,1124.16,44.97,
675.99,27.04,1138.46,45.54,
651.47,26.06,1132.61,45.30,
625.86,25.03,1126.76,45.07,
665.48,26.62,1129.76,45.19,
634.60,25.38,1128.23,45.13,
662.27,26.49,1134.87,45.39,
632.15,25.29,1131.01,45.24,
671.13,26.85,1228.88,49.16,
645.46,25.82,1126.83,45.07,
668.34,26.73,1128.14,45.13,
647.54,25.90,1132.49,45.30,
711.98,28.48,1146.05,45.84,
640.97,25.64,1139.20,45.57,
628.53,25.14,1133.10,45.32,
629.97,25.20,1137.94,45.52,
673.50,26.94,1130.64,45.23,
658.00,26.32,1151.64,46.07,
688.21,27.53,1130.00,45.20,
669.30,26.77,1141.08,45.64,
687.32,27.49,1138.66,45.55,
689.33,27.57,1129.62,45.18,
694.90,27.80,1153.43,46.14,
653.24,26.13,1131.01,45.24,
656.29,26.25,1128.72,45.15,
642.03,25.68,1127.05,45.08,
646.71,25.87,1135.17,45.41,
649.20,25.97,1130.30,45.21,
656.03,26.24,1129.67,45.19,
644.88,25.80,1153.08,46.12,
639.08,25.56,1139.30,45.57,
628.96,25.16,1174.24,46.97,
634.79,25.39,1213.30,48.53,
632.30,25.29,1142.39,45.70,
632.66,25.31,1139.52,45.58,
651.47,26.06,1139.09,45.56,
644.40,25.78,1134.51,45.38,
647.09,25.88,1136.14,45.45,
640.00,25.60,1155.95,46.24,
636.20,25.45,1222.90,48.92,
655.63,26.23,1127.78,45.11,
637.82,25.51,1142.04,45.68,
